"PLAYERS","DFG","BOT                               ENT                               GVR                               HSM                               JHN                               LGN                               LPT                               MAC                               RFA                               SHF                               SRL                               UFA                               VPP                               ZSK","ANA                               BOS                               BUF                               CAR                               CBJ                               CGY                               CHI                               COL                               DAL                               DET                               EDM                               FLA                               LAK                               MIN                               MTL                               NJD                               NSH                               NYI                               NYR                               OTT                               PHI                               PIT                               SEA                               SJS                               STL                               TBL                               TOR                               UFA                               UTA                               VAN                               VGK                               WPG                               WSH","Age","Cap","GP","Pts","PPG"
"Victor Johansson                                A","D","ENT","TOR","21","$0.0","0","0","0.0"
"Semyon Kizimov                                3","F","UFA","TOR","27","$0.0","0","0","0.0"
"Tinus Luc Koblar                                A","F","ENT","TOR","20","$0.0","0","0","0.0"
"Alexander Plesovskikh                                A","F","ENT","TOR","21","$0.0","0","0","0.0"
"Patriks Plumins                                A","G","ENT","TOR","19","$0.0","0","0","0.0"
"Liam O`Brien                                3","F","UFA","UTA","33","$0.0","0","0","0.0"
"Sebastian Cossa                                B","G","GVR","UTA","24","$0.6","0","0","0.0"
"Owen Allard                                A","F","ENT","UTA","23","$0.0","0","0","0.0"
"Gregor Biber                                A","D","ENT","UTA","21","$0.0","0","0","0.0"
"Yegor Borikov                                A","F","ENT","UTA","22","$0.0","0","0","0.0"
"Caleb Desnoyers                                A","F","LGN","UTA","20","$0.8","0","0","0.0"
"Artem Duda                                A","D","ENT","UTA","23","$0.0","0","0","0.0"
"Terrell Goldsmith                                A","D","ENT","UTA","22","$0.0","0","0","0.0"
"Cameron Hebig                                3","F","UFA","UTA","30","$0.0","0","0","0.0"
"Michael Hrabal                                A","G","LPT","UTA","22","$0.5","0","0","0.0"
"Tij Iginla                                A","F","LPT","UTA","21","$0.7","0","0","0.0"
"Zac Jones                                3","D","UFA","UTA","26","$0.0","0","0","0.0"
"Tomas Lavoie                                A","D","ENT","UTA","21","$0.0","0","0","0.0"
"Sam Lipkin                                3","F","UFA","UTA","24","$0.0","0","0","0.0"
"Julian Lutz                                A","F","ENT","UTA","23","$0.0","0","0","0.0"
"Miko Matikka                                A","F","ENT","UTA","23","$0.0","0","0","0.0"
"Ben McCartney                                3","F","UFA","UTA","26","$0.0","0","0","0.0"
"Vadim Moroz                                A","F","ENT","UTA","23","$0.0","0","0","0.0"
"Noel Nordh                                A","F","ENT","UTA","22","$0.0","0","0","0.0"
"Montana Onyebuchi                                3","D","UFA","UTA","27","$0.0","0","0","0.0"
"Joshua Roy                                3","F","UFA","UTA","24","$0.0","3","0","0.0"
"Gabe Smith                                A","F","ENT","UTA","21","$0.0","0","0","0.0"
"Jaxson Stauber                                3","G","UFA","UTA","28","$0.0","0","0","0.0"
"Reko Alanko                                A","D","ENT","UTA","20","$0.0","0","0","0.0"
"Florent Houle                                A","F","ENT","UTA","20","$0.0","0","0","0.0"
"Artem Prima                                A","F","ENT","UTA","19","$0.0","0","0","0.0"
"Max Psenicka                                A","D","ENT","UTA","20","$0.0","0","0","0.0"
"Ivan Tkach-Tkachenko                                A","G","ENT","UTA","20","$0.0","0","0","0.0"
"Carl Axelsson                                A","G","ENT","UTA","20","$0.0","0","0","0.0"
"Ethan Belchetz                                A","F","ENT","UTA","19","$0.0","0","0","0.0"
"Ludvig Lafton                                A","D","ENT","UTA","21","$0.0","0","0","0.0"
"Tanner Ludtke                                A","F","ENT","UTA","22","$0.0","0","0","0.0"
"Matthew Morden                                A","D","ENT","UTA","23","$0.0","0","0","0.0"
"Carsen Musser                                A","G","ENT","UTA","22","$0.0","0","0","0.0"
"Will Skahan                                A","D","ENT","UTA","21","$0.0","0","0","0.0"
"Adam Valentini                                A","F","ENT","UTA","19","$0.0","0","0","0.0"
"Adam Zlnka                                A","F","ENT","UTA","23","$0.0","0","0","0.0"
"Samu Bau                                A","F","ENT","UTA","23","$0.0","0","0","0.0"
"Ilya Fedotov                                3","F","UFA","UTA","24","$0.0","0","0","0.0"
"Stepan Hoch                                A","F","ENT","UTA","20","$0.0","0","0","0.0"
"Vojtech Hradec                                A","F","ENT","UTA","21","$0.0","0","0","0.0"
"Ludvig Johnson                                A","D","ENT","UTA","21","$0.0","0","0","0.0"
"Theodor Knights                                A","D","ENT","UTA","19","$0.0","0","0","0.0"
"Danil Savunov                                3","F","UFA","UTA","26","$0.0","0","0","0.0"
"Melker Thelin                                A","G","ENT","UTA","22","$0.0","0","0","0.0"
"Veeti Vaisanen                                A","D","ENT","UTA","21","$0.0","0","0","0.0"
"Drew O`Connor                                3","F","UFA","VAN","29","$0.0","0","0","0.0"
"Vilmer Alriksson                                A","F","ENT","VAN","22","$0.0","0","0","0.0"
"Guillaume Brisebois                                3","D","UFA","VAN","30","$0.0","0","0","0.0"
"Gabriel Chiarot                                A","F","ENT","VAN","20","$0.0","0","0","0.0"
"Cole Clayton                                3","D","UFA","VAN","27","$0.0","0","0","0.0"
"Braeden Cootes                                A","F","ENT","VAN","20","$0.0","3","0","0.0"
"Trey Fix-Wolansky                                3","F","UFA","VAN","28","$0.0","0","0","0.0"
"Aku Koskenvuo                                3","G","UFA","VAN","24","$0.0","0","0","0.0"
"Sawyer Mynio                                A","D","ENT","VAN","22","$0.0","0","0","0.0"
"Riley Patterson                                A","F","ENT","VAN","21","$0.0","0","0","0.0"
"Anri Ravinskis                                3","F","UFA","VAN","24","$0.0","0","0","0.0"
"Ilya Safonov                                3","F","UFA","VAN","26","$0.0","0","0","0.0"
"Jimmy Schuldt                                3","D","UFA","VAN","32","$0.0","0","0","0.0"
"Matt Stienburg                                3","F","UFA","VAN","26","$0.0","0","0","0.0"
"Akil Thomas                                3","F","UFA","VAN","27","$0.0","0","0","0.0"
"Jack Thompson                                3","D","UFA","VAN","25","$0.0","0","0","0.0"
"Chase Wouters                                3","F","UFA","VAN","27","$0.0","0","0","0.0"
"Ty Young                                A","G","ENT","VAN","23","$0.0","0","0","0.0"
"Lucian Bernat                                A","F","ENT","VAN","19","$0.0","0","0","0.0"
"Alexei Medvedev                                A","G","ENT","VAN","20","$0.0","0","0","0.0"
"Adam Novotny                                A","F","ENT","VAN","19","$0.0","0","0","0.0"
"Brooks Rogowski                                A","F","ENT","VAN","19","$0.0","0","0","0.0"
"Niklas Aaram-Olsen                                A","F","ENT","VAN","19","$0.0","0","0","0.0"
"Parker Alcos                                A","D","ENT","VAN","21","$0.0","0","0","0.0"
"Wilson Bjorck                                A","F","ENT","VAN","21","$0.0","0","0","0.0"
"Yaroslav Bryzgalov                                A","F","ENT","VAN","20","$0.0","0","0","0.0"
"Aiden Celebrini                                A","D","ENT","VAN","22","$0.0","0","0","0.0"
"Connor Davis                                A","F","ENT","VAN","20","$0.0","0","0","0.0"
"Kieren Dervin                                A","F","ENT","VAN","20","$0.0","0","0","0.0"
"Daimon Gardner                                A","F","ENT","VAN","23","$0.0","0","0","0.0"
"Matthew Lansing                                A","F","ENT","VAN","20","$0.0","0","0","0.0"
"Caleb Malhotra                                A","F","ENT","VAN","19","$0.0","0","0","0.0"
"Matthew Perkins                                A","F","ENT","VAN","23","$0.0","0","0","0.0"
"Anthony Romani                                A","F","ENT","VAN","22","$0.0","0","0","0.0"
"Samuel Eriksson                                A","D","ENT","VAN","19","$0.0","0","0","0.0"
"Dmitri Ivchenko                                A","G","ENT","VAN","19","$0.0","0","0","0.0"
"Basile Sansonnens                                A","D","ENT","VAN","21","$0.0","0","0","0.0"
"Trevor Connelly                                A","F","LGN","VGK","21","$0.5","0","0","0.0"
"Dylan Coghlan                                3","D","UFA","VGK","29","$0.0","3","0","0.0"
"Alex Pietrangelo                                3","D","UFA","VGK","37","$0.0","0","0","0.0"
"Mathieu Cataford                                A","F","ENT","VGK","22","$0.0","0","0","0.0"
"Lukas Cormier                                C","D","ZSK","VGK","25","$0.5","0","0","0.0"
"Jeremy Davies                                3","D","UFA","VGK","30","$0.0","0","0","0.0"
"Jakub Demek                                3","F","UFA","VGK","24","$0.0","0","0","0.0"
"Noah Ellis                                3","D","UFA","VGK","25","$0.0","0","0","0.0"
"Joe Fleming                                3","F","UFA","VGK","24","$0.0","0","0","0.0"
"Adam Ginning                                3","D","UFA","VGK","27","$0.0","5","0","0.0"
"Jordan Gustafson                                A","F","ENT","VGK","23","$0.0","0","0","0.0"
"Jackson Hallum                                3","F","UFA","VGK","25","$0.0","0","0","0.0"
"Ville Heinola                                3","D","UFA","VGK","26","$0.5","5","0","0.0"
"Ben Hemmerling                                A","F","ENT","VGK","23","$0.0","0","0","0.0"
"Viliam Kmec                                A","D","ENT","VGK","23","$0.0","0","0","0.0"
"Raphael Lavoie                                3","F","UFA","VGK","26","$0.0","1","0","0.0"
"Jaycob Megna                                3","D","UFA","VGK","34","$0.0","4","0","0.0"
"Pavel Moysevich                                A","G","ENT","VGK","22","$0.0","0","0","0.0"
"Bronson Ride                                A","D","ENT","VGK","22","$0.0","0","0","0.0"
"Matyas Sapovaliv                                A","F","ENT","VGK","23","$0.0","0","0","0.0"
"Trent Swick                                A","F","ENT","VGK","23","$0.0","0","0","0.0"
"Antti Tuomisto                                3","D","UFA","VGK","26","$0.0","0","0","0.0"
"Kai Uchacz                                3","F","UFA","VGK","24","$0.0","3","0","0.0"
"Tuomas Uronen                                A","F","ENT","VGK","22","$0.0","0","0","0.0"
"Alex Weiermair                                A","F","ENT","VGK","22","$0.0","0","0","0.0"
"Cameron Whitehead                                3","G","UFA","VGK","24","$0.0","0","0","0.0"
"Jakub Brabenec                                3","F","UFA","VGK","24","$0.0","0","0","0.0"
"Ivan Morozov                                3","F","UFA","VGK","27","$0.0","0","0","0.0"
"Sean Burick                                A","D","ENT","VGK","19","$0.0","0","0","0.0"
"Mateo Nobert                                A","F","ENT","VGK","20","$0.0","0","0","0.0"
"Jonah Sivertson                                A","F","ENT","VGK","19","$0.0","0","0","0.0"
"Will McLaughlin                                A","D","ENT","VGK","19","$0.0","0","0","0.0"
"Matthew Minchak                                A","G","ENT","VGK","20","$0.0","0","0","0.0"
"Lucas Van Vliet                                A","F","ENT","VGK","21","$0.0","0","0","0.0"
"Benjamin Wilmott                                A","F","ENT","VGK","21","$0.0","0","0","0.0"
"Jakob Ihs-Wozniak                                A","F","ENT","VGK","20","$0.0","0","0","0.0"
"Arttu Karki                                A","D","ENT","VGK","22","$0.0","0","0","0.0"
"Noel Pakarinen                                A","F","ENT","VGK","19","$0.0","0","0","0.0"
"Juho Piiparinen                                A","D","ENT","VGK","19","$0.0","0","0","0.0"
"Gustav Sjoqvist                                A","D","ENT","VGK","21","$0.0","0","0","0.0"
"Dylan McIlrath                                3","D","UFA","WSH","35","$0.0","13","0","0.0"
"Cam Allen                                A","D","ENT","WSH","22","$0.0","0","0","0.0"
"Louie Belpedio                                3","D","UFA","WSH","31","$0.0","0","0","0.0"
"Ryan Chesley                                A","D","ENT","WSH","23","$0.0","0","0","0.0"
"Andrew Cristall                                A","F","JHN","WSH","22","$0.5","0","0","0.0"
"Mitchell Gibson                                3","G","UFA","WSH","28","$0.0","0","0","0.0"
"David Gucciardi                                3","D","UFA","WSH","24","$0.0","0","0","0.0"
"Antoine Keller                                A","G","ENT","WSH","22","$0.0","0","0","0.0"
"Tyler Kopff                                3","F","UFA","WSH","24","$0.0","0","0","0.0"
"Lynden Lakovic                                A","F","ENT","WSH","20","$0.0","0","0","0.0"
"Jacob MacDonald                                3","D","UFA","WSH","34","$0.0","0","0","0.0"
"Eriks Mateiko                                A","F","ENT","WSH","21","$0.0","0","0","0.0"
"Leon Muggli                                A","D","ENT","WSH","21","$0.0","0","0","0.0"
